label,pattern,attr,replace
odonata,Platysticta apicalis,lower,
odonata,Platysticta maculata,lower,
odonata,Platysticta greeni,lower,Platysticta maculata
odonata,Platysticta secreta,lower,
odonata,Platysticta serendibica,lower,
odonata,Protosticta antelopoides,lower,
odonata,Protosticta beaumonti,lower,
odonata,Protosticta binhi,lower,
odonata,Protosticta bivittata,lower,
odonata,Protosticta caroli,lower,
odonata,Protosticta coomansi,lower,
odonata,Protosticta curiosa,lower,
odonata,Protosticta zhengi,lower,Protosticta curiosa
odonata,Protosticta albifrons,lower,Protosticta curiosa
odonata,Protosticta cyaneofemora,lower,
odonata,Protosticta damacornu,lower,
odonata,Protosticta davenporti,lower,
odonata,Protosticta foersteri,lower,
odonata,Protosticta fraseri,lower,
odonata,Protosticta geijskesi,lower,
odonata,Protosticta gracilis,lower,
odonata,Protosticta grandis,lower,
odonata,Protosticta gravelyi,lower,
odonata,Protosticta stevensi,lower,Protosticta gravelyi
odonata,Protosticta hearseyi,lower,
odonata,Protosticta himalaiaca,lower,
odonata,Protosticta lindgreni,lower,Protosticta himalaiaca
odonata,Protosticta joepani,lower,
odonata,Protosticta khaosoidaoensis,lower,
odonata,Protosticta kiautai,lower,
odonata,Protosticta kinabaluensis,lower,
odonata,Protosticta lepteca,lower,
odonata,Protosticta linduensis,lower,
odonata,Protosticta linnaei,lower,
odonata,Protosticta marenae,lower,
odonata,Protosticta maurenbrecheri,lower,
odonata,Protosticta medusa,lower,
odonata,Protosticta monticola,lower,
odonata,Protosticta mortoni,lower,
odonata,Protosticta myristicaensis,lower,
odonata,Protosticta ngoai,lower,
odonata,Protosticta nigra,lower,
odonata,Protosticta pariwonoi,lower,
odonata,Protosticta plicata,lower,
odonata,Protosticta ponmudiensis,lower,
odonata,Protosticta proboscis,lower,
odonata,Protosticta pseudocuriosa,lower,
odonata,Protosticta reslae,lower,
odonata,Protosticta robusta,lower,
odonata,Protosticta rozendalorum,lower,
odonata,Protosticta rufostigma,lower,
odonata,Protosticta sanguinostigma,lower,
odonata,Protosticta cerinostigma,lower,Protosticta sanguinostigma
odonata,Protosticta satoi,lower,
odonata,Protosticta sholai,lower,
odonata,Protosticta simplicinervis,lower,
odonata,Protosticta annulata,lower,Protosticta simplicinervis
odonata,Protosticta socculus,lower,
odonata,Protosticta spinosa,lower,
odonata,Protosticta taipokauensis,lower,
odonata,Protosticta trilobata,lower,
odonata,Protosticta uncata,lower,
odonata,Protosticta vanderstarrei,lower,
odonata,Protosticta versicolor,lower,
odonata,Sinosticta debra,lower,
odonata,Sinosticta hainanense,lower,
odonata,Sinosticta ogatai,lower,
odonata,Drepanosticta ogatai,lower,Sinosticta ogatai
odonata,Sinosticta sylvatica,lower,
odonata,Sulcosticta pallida,lower,
odonata,Sulcosticta sierramadrensis,lower,
odonata,Sulcosticta striata,lower,
odonata,Sulcosticta vantoli,lower,
odonata,Sulcosticta viticula,lower,
odonata,Telosticta belalongensis,lower,
odonata,Telosticta berawan,lower,
odonata,Telosticta bidayuh,lower,
odonata,Telosticta dayak,lower,
odonata,Telosticta dupophila,lower,
odonata,Drepanosticta dupophila,lower,Telosticta dupophila
odonata,Telosticta feronia,lower,
odonata,Protosticta feronia,lower,Telosticta feronia
odonata,Telosticta fugispinosa,lower,
odonata,Telosticta gading,lower,
odonata,Telosticta iban,lower,
odonata,Telosticta janeus,lower,
odonata,Telosticta kajang,lower,
odonata,Telosticta longigaster,lower,
odonata,Telosticta paruatia,lower,
odonata,Drepanosticta paruatia,lower,Telosticta paruatia
